world,name,family,x,z,exteriorRadius,referenceHeight,changed,replacementChecksPassed,before_Profile,before_ArrivalMismatch,before_Grade,before_MeanEarthwork,before_WorstEarthwork,before_Length,before_BlockedSegments,after_Profile,after_ArrivalMismatch,after_Grade,after_MeanEarthwork,after_WorstEarthwork,after_Length,after_BlockedSegments
RoadSeedC,TarPit3,tar pit,-3578,1925,14,46.253128,False,,True,11.887505,0.35,0.97152567,2.0893936,64,0,True,11.887505,0.35,0.97152567,2.0893936,64,0
RoadSeedC,TarPit3,tar pit,3591.8,1286.4,14,42.958508,False,,True,7.6017723,0.3500023,1.1675783,2.4262543,64,0,True,7.6017723,0.3500023,1.1675783,2.4262543,64,0
RoadSeedC,TarPit3,tar pit,3590.6,2432.9,14,41.898464,False,,True,5.041588,0.35000244,0.60027784,1.8930397,64,0,True,5.041588,0.35000244,0.60027784,1.8930397,64,0
RoadSeedC,TarPit2,tar pit,2239.7,-4739.9,25,42.895214,False,,True,4.713871,0.3013115,0.5619971,1.4851704,64,0,True,4.713871,0.3013115,0.5619971,1.4851704,64,0
RoadSeedC,StoneTowerRuins05,tower,2557.2,1536.3,22,251.22798,False,,False,51.30858,0,0,0,0,0,False,51.30858,0,0,0,0,0
RoadSeedC,StoneTowerRuins05,tower,4479.7,-5513.3,22,180.68753,True,True,True,39.031967,0.3500091,14.696968,27.331558,64,0,True,0.20626831,0.3500456,1.4904134,4.6785126,219.44524,0
RoadSeedC,StoneTowerRuins05,tower,4218.1,4666.9,22,179.65286,False,,False,37.931824,0,0,0,0,0,False,37.931824,0,0,0,0,0
RoadSeedC,StoneTowerRuins05,tower,-7994.2,-2626.6,22,205.25984,False,,False,35.46463,0,0,0,0,0,False,35.46463,0,0,0,0,0
RoadSeedC,TrollCave02,troll cave,582.1,-4984.1,12,45.960518,False,,True,11.829693,0.35000134,0.37426302,1.4123592,64,19,True,11.829693,0.35000134,0.37426302,1.4123592,64,19
RoadSeedC,TrollCave02,troll cave,-4729,3132.4,12,46.450714,False,,True,11.288567,0.35000247,0.6373953,1.8334332,64,41,True,11.288567,0.35000247,0.6373953,1.8334332,64,41
RoadSeedC,TrollCave02,troll cave,-901.6,-446.2,12,48.86178,False,,True,11.05843,0.35000458,1.1247025,4.4402122,64,0,True,11.05843,0.35000458,1.1247025,4.4402122,64,0
RoadSeedC,TrollCave02,troll cave,1159,-956.1,12,63.75249,False,,False,11.05267,0,0,0,0,0,False,11.05267,0,0,0,0,0
RoadSeedD,Crypt2,dungeon,1717.4,-1782.8,12,54.99462,False,,True,21.916374,0.3500015,0.48009562,2.2084827,64,15,True,21.916374,0.3500015,0.48009562,2.2084827,64,15
RoadSeedD,Crypt3,dungeon,4599.2,-6726.6,11,44.919224,True,True,True,16.142632,0.35000306,7.073011,22.14952,64,0,True,0.3339653,0.35000488,4.793039,14.978836,106.82498,0
RoadSeedD,Crypt4,dungeon,-5703.4,-2050.4,18,81.05702,True,True,True,13.20047,0.3500061,8.960147,13.565239,64,26,True,0.3518219,0.3500076,6.7702584,14.137329,90.627815,0
RoadSeedD,Crypt3,dungeon,-6524,704.6,11,34.170017,False,,False,12.3200035,0,0,0,0,0,False,12.3200035,0,0,0,0,0
RoadSeedD,MountainCave02,frost cave,8000,2880,15,290.7,False,,True,44.19998,0.35001686,17.430784,31.850006,64,0,True,44.19998,0.35001686,17.430784,31.850006,64,0
